title,artist,lyrics,Category
Unfinished,Mandisa,"Preaching it to you, that you could overcome
I still believe it, but it ain't easy
'Cause that world I painted, where things just all work out
It started changing and I started having doubts
And it got me so down

But I picked myself back up
And I started telling me
No, my God's not done
Making me a masterpiece
He's still working on me

He started something good and I'm gonna believe it
He started something good and He's gonna complete it
So I'll celebrate the truth
His work in me ain't through
I'm just unfinished
I'm just unfinished
So I'll celebrate the truth
His work in me ain't through
I'm just unfinished

I know His history and the kind of God He is
He might make it a mystery
But He's proving I can trust in Him
And yeah, I believe it

So I can pick myself back up
And keep on telling me
No, my God's not done
Making me a masterpiece
No, my God's not done

He started something good and I'm gonna believe it
He started something good and He's gonna complete it
So I'll celebrate the truth
His work in me ain't through
I'm just unfinished
(Yeah)
I'm just unfinished
So I'll celebrate the truth
His work in me ain't through

Still workin'
Still, still workin' on me
He's still workin'
Still, still workin' on me

He started something good and I'm gonna believe it
He started something good and He's gonna complete it
So I'll celebrate the truth
His work in me ain't through
I'm just unfinished
I'm just unfinished
(I'm just unfinished)
So I'll celebrate the truth
His work in me ain't through
I'm just unfinished

Still workin'
Still, still workin' on me
He's still workin'
Still, still workin' on me
Oh, yeah
I'm just unfinished",Inspiring
Control (Somehow You Want Me),Tenth Avenue North,"All my intentions
All my obsessions
I want to lay them all down
In Your hands
Only Your love is vital
Though I'm not entitled
Still You call me Your child

God You don't need me
But somehow You want me
Oh how You love me
Somehow that frees me
To take my hands off of my life
And the way it should go
God You don't need me
But somehow You want me
Oh how You love me
Somehow that frees me
To open my hands up
And give You control
I give You control

I've had plans
Shattered and broken
Things I have hopen in
Fall through my hands
You have plans
To redeem and restore me
You're behind and before me
Oh help me believe

God You don't need me
But somehow You want me
Oh how You love me
Somehow that frees me
To take my hands off of my life
And the way it should go, oh
God You don't need me
But somehow You want me
Oh how You love me
Somehow that frees me
To open my hands up
And give You control

Oh You want me
Somehow You want me
The King of Heaven wants me
So this world has lost it's grip on me

Oh You want me
Somehow You want me
The King of Heaven wants me
So this world has lost it's grip on me

God You don't need me
But somehow You want me
Oh how You love me
Somehow that frees me
To take my hands off of my life
And the way it should go, oh
God You don't need me
But somehow You want me
Oh how You love me
Somehow that frees me
To open my hands up
And give You control
I give You control

Oh, give You control
Oh I want to give You control
I give You control

Oh You want me
Somehow You want me
The King of Heaven wants me
So this world has lost it's grip on me",Inspiring
Just Be Held,Casting Crowns,"Everybody needs you strong
But life hits you out of nowhere
And barely leaves you holding on

And when you're tired of fighting
Chained by your control
There's freedom in surrender
Lay it down and let it go

So when you're on your knees and answers seem so far away
You're not alone, stop holding on and just be held
Your world's not falling apart, it's falling into place
I'm on the throne, stop holding on and just be held
Just be held, just be held

If your eyes are on the storm
You'll wonder if I love you still
But if your eyes are on the cross
You'll know I always have and I always will

And not a tear is wasted
In time, you'll understand
I'm painting beauty with the ashes
Your life is in My hands

So when you're on your knees and answers seem so far away
You're not alone, stop holding on and just be held
Your world's not falling apart, it's falling into place
I'm on the throne, stop holding on and just be held
Just be held, just be held

Lift your hands, lift your eyes
In the storm is where you'll find Me
And where you are, I'll hold your heart
I'll hold your heart
Come to Me, find your rest
In the arms of the God who wont let go

So when you're on your knees and answers seem so far away
You're not alone, stop holding on and just be held
Your world's not falling apart, it's falling into place
I'm on the throne, stop holding on and just be held
(Stop holding on and just be held) Just be Held
Just be held
Just be held
Just be held",Inspiring
Come Alive (Dry Bones),Lauren Daigle,"There's so much we have lost
As we look down the road
Where all the prodigals have walked
And one by one
The enemy has whispered lies 
And led them off as slaves

But we know that you are God
Yours is the victory
We know there is more to come
That we may not yet see
So with the faith you've given us
We'll step into the valley unafraid, yeah

As we call out to dry bones 
Come alive, come alive
And we call out to dead hearts 
Come alive, come alive
Up out of the ashes 
Let us see an army rise
We call out to dry bones, come alive 

Oh God of endless mercy
God of unrelenting love
Rescue every daughter 
Bring us back the wayward son
By your spirit breathe upon them 
And show that you alone can save
You alone can save

As we call out to dry bones 
Come alive, come alive
And we call out to dead hearts 
Come alive, come alive
Come up out of the ashes 
Let us see an army rise
We call out to dry bones come alive

So breathe, oh breath of God
Now breathe, oh breath of God
Breathe, oh breath of God
Now breathe 

Breathe, oh breath of God
Now breathe, oh breath of God
Breathe, oh breath of God, now breathe 

As we call out to dry bones 
Come alive, come alive
And we call out to dead hearts 
Come alive, come alive
Come up out of the ashes 
Let us see an army rise
We call out to dry bones come alive, yeah
We call out to dry bones, come alive",Inspiring
God's Not Dead (Like a Lion),Newsboys,"Let love explode and bring the dead to life
A love so bold to bring a revolution somehow

Let love explode and bring the dead to life
A love so bold to see a revolution somehow
Now I'm lost in Your freedom
And this world I'll overcome

My God's not dead
He's surely alive
He's livin' on the inside
Roaring like a lion

Let hope arise and make the darkness hide
My faith is dead I need a resurrection somehow
I'm lost in your freedom
And this world I'll overcome

My God's not dead
He's surely alive
He's livin' on the inside
Roaring like a lion

Let heaven roar, and fire fall
Come shake the ground
With the sound of revival

My God's not dead
He's surely alive
He's livin' on the inside
Roaring like a lion",Inspiring
Do It Again,Elevation Worship,"I thought by now they'd fall
But You have never failed me yet

Waiting for change to come
Knowing the battle's won
For You have never failed me yet

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence
You've never failed me yet

I know the night won't last
Your word will come to pass
My heart will sing Your praise again

Jesus, You're still enough
Keep me within Your love
My heart will sing Your praise again

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence
You've never failed

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence
You've never failed me yet

I've seen You move
You move the mountains
And I believe
I'll see You do it again

You made a way
Where there was no way
And I believe
I'll see You do it again

I've seen You move
You move the mountains
And I believe
I'll see You do it again

You made a way
Where there was no way
And I believe
I'll see You do it again

I've seen You move
You move the mountains
And I believe
I'll see You do it again

You made a way
Where there was no way
And I believe
I'll see You do it again

I'll see You do it again

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence
You've never failed

Your promise still stands
Great is Your faithfulness, faithfulness
I'm still in Your hands
This is my confidence
You've never failed me yet

And You've never failed me yet
I never will forget
You've never failed me yet
I never will forget",Inspiring
Amazing Grace (My Chains Are Gone),Chris Tomlin,"How sweet the sound
That saved a wretch like me
I once was lost, but now I'm found
Was blind, but now I see

'Twas grace that taught my heart to fear
And grace my fears relieved
How precious did that grace appear
The hour I first believed

My chains are gone
I've been set free
My God, my Savior has ransomed me
And like a flood His mercy reigns
Unending love, amazing grace

The Lord has promised good to me
His word my hope secures
He will my shield and portion be
As long as life endures

My chains are gone
I've been set free
My God, my Savior has ransomed me
And like a flood His mercy reigns
Unending love, amazing grace

My chains are gone
I've been set free
My God, my Savior has ransomed me
And like a flood His mercy reigns
Unending love, amazing grace

The earth shall soon dissolve like snow
The sun forbear to shine
But God, who called me here below
Will be forever mine
Will be forever mine
You are forever mine",Inspiring
All My Hope (feat. Tauren Wells),Crowder,"I've felt fire from above
I've been down to the river
I ain't the same, a prodigal returned

All my hope is in Jesus
Thank God that yesterday's gone
All my sins are forgiven
I've been washed by the blood

I'm no stranger to prison
I've worn shackles and chains
But I've been freed and forgiven
And I'm not going back, I'll never be the same
That's why I sing

All my hope is in Jesus
Thank God that yesterday's gone
All my sins are forgiven
I've been washed by the blood

There's a kind of thing that just breaks a man
Break him down to his knees
God, I've been broken more than a time or two
Yes, Lord then He picked me up and showed me
What it means to be a man come on and sing

All my hope is in Jesus
Thank God that yesterday's gone
All my sins are forgiven
I've been washed by the blood

Oh
I've, I've been
Washed by the
Blood",Inspiring
This Is Amazing Grace,Phil Wickham,"Whose love is mighty and so much stronger
The King of Glory, the King above all kings

Who shakes the whole earth with holy thunder
And leaves us breathless in awe and wonder
The King of Glory, the King above all kings

This is amazing grace
This is unfailing love
That You would take my place
That You would bear my cross
You lay down Your life
That I would be set free
Oh, Jesus, I sing for
All that You've done for me

Who brings our chaos back into order
Who makes the orphan a son and daughter
The King of Glory, the King of Glory

Who rules the nations with truth and justice
Shines like the sun in all of its brilliance
The King of Glory, the King above all kings

This is amazing grace
This is unfailing love
That You would take my place
That You would bear my cross
You lay down Your life
That I would be set free
Oh, Jesus, I sing for
All that You've done for me

Worthy is the Lamb who was slain
Worthy is the King who conquered the grave
Worthy is the Lamb who was slain
Worthy is the King who conquered the grave
Worthy is the Lamb who was slain
Worthy is the King who conquered the grave
Worthy is the Lamb who was slain
Worthy, worthy, worthy
Oh

This is amazing grace
This is unfailing love
That You would take my place
That You would bear my cross
You lay down Your life
That I would be set free
Oh, Jesus, I sing for
All that You've done for me",Inspiring
It is Well (Live),Bethel Music & Kristene DiMarco,"Moved by the sound of His voice
Seas that are shaken and stirred
Can be calmed and broken for my regard

Through it all, through it all
My eyes are on You
Through it all, through it all
It is well
Through it all, through it all
My eyes are on You
It is well with me

Far be it from me to not believe
Even when my eyes can't see
And this mountain that's in front of me
Will be thrown into the midst of the sea

So let go my soul and trust in Him
The waves and wind still know His name

It is well with my soul
It is well with my soul
It is well with my soul
It is well, it is well with my soul",Inspiring
O Come to the Altar (Radio Version),Elevation Worship,"Overwhelmed by the weight of your sin
Jesus is calling
Have you come to the end of yourself
Do you thirst for a drink from the well
Jesus is calling

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

Leave behind your regrets and mistakes
Come today there’s no reason to wait
Jesus is calling
Bring your sorrows and trade them for joy
From the ashes a new life is born
Jesus is calling, oh

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ

Savior, what a Savior

Oh what a Savior
Isn't He wonderful
Sing hallelujah, Christ is risen
Bow down before him
For He is Lord of all
Sing hallelujah, Christ is risen

Oh what a Savior
Isn't He wonderful
Sing hallelujah, Christ is risen
Bow down before him
For He is Lord of all
Sing hallelujah, Christ is risen

O come to the altar
The Father's arms are open wide
Forgiveness was bought with, oh
The precious blood of Jesus Christ

O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of Jesus Christ, oh

Thank You, Lord

Bear your cross as you wait for the crown
Tell the world of the treasure you've found",Inspiring
Priceless,for KING & COUNTRY,"Tellin' those lies, pointing out your flaws
That isn't who you are
That isn't who you are

It might be hard to hear, but let me tell you dear
If you could see what I can see, I know you would believe
That isn't who you are
There's more to who you are

So when it's late, you're wide awake
Too much to take
Don't you dare forget that in the pain
You can be brave, hear me say

I see you dressed in white
Every wrong made right
I see a rose in bloom
At the sight of you (oh so priceless)
Irreplaceable, unmistakable, incomparable
Darling, it's beautiful
I see it all in you (oh so priceless)

No matter what you've heard, this is what your worth
More than all the money or the diamonds and pearls
Oh this is who you are
Yea this is who you are

So when it's late, you're wide awake
Too much to take
Don't you dare forget that in the pain
You can be brave, hear me say

I see you dressed in white
Every wrong made right
I see a rose in bloom
At the sight of you (oh so priceless)
Irreplaceable, unmistakable, incomparable
Darling, it's beautiful
I see it all in you (oh so priceless)

Sisters, we can start again
Give honor till the end
Love, we can start again
Brothers, we can start again
Give honor till the end
Yea, we can start again

I see you dressed in white
Every wrong made right
I see a rose in bloom
At the sight of you

I see you dressed in white
Every wrong made right
I see a rose in bloom
At the sight of you (oh so priceless)
(You're) irreplaceable, unmistakable, incomparable
Darling, it's beautiful
I see it all in you (oh so priceless)

I see you dressed in white
Every wrong made right
I see a rose in bloom
At the sight of you

I see you dressed in white
Every wrong made right
Oh so priceless",Inspiring
Beloved,Jordan Feliz,"To deserve affection to ever be enough
For this existence
When did it get so hard?
Your heart is beating, alive and breathing
And there's a reason why
You are essential, not accidental
And you should realize

You are beloved
I wanted you to know
You are beloved
Let it soak into your soul
Oh, forget the lies you heard
Rise above the hurt
And listen to these words
You are beloved
I wanted you to know
You are beloved
You are beloved

Sometimes a heart can feel like a heavy weight
It pulls you under and you just fall away
Is anybody gonna hear you call?
Oh, oh
But there's a purpose
Under the surface
And you don't have to drown
Let me remind you
That love will find you
Let it lift you out

You are beloved
I wanted you to know
You are beloved
Let it soak into your soul
Oh, forget the lies you heard
Rise above the hurt
And listen to these words
You are beloved
I wanted you to know
You are beloved

Don't be afraid
Don't let hope fade
Keep your eyes fixed on the light above
In the heartbreak, in your mistakes
Nothing can separate you from love

Don't be afraid
Don't let hope fade
Keep your eyes fixed on the light above
In the heartbreak, in your mistakes
Nothing can separate you from love

You are beloved
I wanted you to know
You are beloved
Let it soak into your soul
Forget the lies you heard
Rise above the hurt
And listen to these words

You are beloved
I wanted you to know
You are beloved
You are beloved
You are beloved

Don't be afraid
Don't let hope fade
Keep your eyes fixed on the light above
In the heartbreak, in your mistakes
Nothing can separate you from love
You are beloved",Inspiring
Tell Your Heart to Beat Again,Danny Gokey,"Like you've never been before
The life you knew
In a thousand pieces on the floor
And words fall short in times like these
When this world drives you to your knees
You think you're never gonna get back
To the you that used to be

Tell your heart to beat again
Close your eyes and breathe it in
Let the shadows fall away
Step into the light of grace
Yesterday's a closing door
You don't live there anymore
Say goodbye to where you've been
And tell your heart to beat again

Beginning
Just let that word wash over you
It's alright now
Love's healing hands have pulled you through
So get back up, take step one
Leave the darkness, feel the sun
Cause your story's far from over
And your journey's just begun

Tell your heart to beat again
Close your eyes and breathe it in
Let the shadows fall away
Step into the light of grace
Yesterday's a closing door
You don't live there anymore
Say goodbye to where you've been
And tell your heart to beat again

Let every heartbreak
And every scar
Be a picture that reminds you
Who has carried you this far
'Cause love sees farther than you ever could
In this moment heaven's working
Everything for your good

Tell your heart to beat again
Close your eyes and breathe it in
Let the shadows fall away
Step into the light of grace
Yesterday's a closing door
You don't live there anymore
Say goodbye to where you've been
And tell your heart to beat again
Your heart to beat again
Beat again

Oh, so tell your heart to beat again",Inspiring
"Lord, I Need You",Matt Maher,"Bowing here I find my rest
Without You I fall apart
You're the One that guides my heart

Lord, I need You, oh, I need You
Every hour I need You
My one defense, my righteousness
Oh God, how I need You

Where sin runs deep Your grace is more
Where grace is found is where You are
And where You are, Lord, I am free
Holiness is Christ in me

Lord, I need You, oh, I need You
Every hour I need You
My one defense, my righteousness
Oh God, how I need You

Teach my song to rise to You
When temptation comes my way
And when I cannot stand I'll fall on You
Jesus, You're my hope and stay

Lord, I need You, oh, I need You
Every hour I need You
My one defense, my righteousness
Oh God, how I need You

You're my one defense, my righteousness
Oh God, how I need You
My one defense, my righteousness
Oh God, how I need You",Inspiring
The River,Jordan Feliz,"Where we can go
To lay the troubles down eating your soul
I know a place
Where mercy flows
Take the stains make you whiter than snow

Like a tide it is rising up
Deep inside
A current that moves and makes you come alive
Living water
That brings the dead to life

We're going down to the river
Down to the river
Down to the river to pray
Let's get washed by the water
Washed by the water
And rise up in amazing grace
Let's go down, down, down to the river
You will leave changed
Let's go down, down, down to the river
Never the same

I've seen it move
In my own life
Took me from dusty roads into Paradise
All of my dirt
All of my shame
Drowned in the streams that have made me born again

Like a tide it is rising up
Deep inside
A current that moves and makes you come alive
Living water
That brings the dead to life

Let's go down
Let's go down
Let's go down",Inspiring
Greater,MercyMe,"And bring your shame
Bring your guilt
And bring your pain
Don't you know that's not you're name
You will always be much more to me

Every day I wrestle with the voices
That keep telling me I'm not right
But that's all right

'Cause I hear a voice and He calls me redeemed
When others say I'll never be enough
And greater is the One living inside of me
Than he who is living in the world
In the world
In the world
And greater is the One living inside of me
Than he who is living in the world

Bring your doubts
And bring your fears
Bring your hurt
And bring your tears
There'll be no condemnation here
You are holy, righteous and redeemed

Every time I fall
There'll be those who will call me
A mistake
Well that's OK

'Cause I hear a voice and He calls me redeemed
When others say I'll never be enough
And greater is the One living inside of me
Than he who is living in the world
In the world
In the world
And greater is the One living inside of me
Than he who is living in the world

(He's Greater, He's Greater)

There'll be days I lose the battle
Grace says that it doesn't matter
'Cause the cross already won the war
He's Greater, He's Greater

I am learning to run freely
Understanding just how He sees me
And it makes me love Him more and more
He's Greater, He's Greater

There'll be days I lose the battle
Grace says that it doesn't matter
'Cause the cross already won the war
He's Greater, He's Greater

I am learning to run freely
Understanding just how He sees me
And it makes me love Him more and more
He's Greater, He's Greater

'Cause I hear a voice and He calls me redeemed
When others say I'll never be enough
And greater is the One living inside of me
Than he who is living in the world
In the world
In the world
And greater is the One living inside of me
Than he who is living in the world

There'll be days I lose the battle
Grace says that it doesn't matter
'Cause the cross already won the war
He's Greater, He's Greater

I am learning to run freely
Understanding just how He sees me
And it makes me love Him more and more
My God is greater (He's Greater, He's Greater)
Than he who is living in the world",Inspiring
Who Am I,Casting Crowns,"Would care to know my name
Would care to feel my hurt
Who am I, that the Bright and Morning Star
Would choose to light the way
For my ever wandering heart

Not because of who I am
But because of what You've done
Not because of what I've done
But because of who You are

I am a flower quickly fading
Here today and gone tomorrow
A wave tossed in the ocean
A vapor in the wind
Still You hear me when I'm calling
Lord, You catch me when I'm falling
And You've told me who I am
I am Yours, I am Yours

Who am I, that the eyes that see my sin
Would look on me with love and watch me rise again
Who am I, that the voice that calmed the sea
Would call out through the rain
And calm the storm in me

Not because of who I am
But because of what You've done
Not because of what I've done
But because of who You are

I am a flower quickly fading
Here today and gone tomorrow
A wave tossed in the ocean
A vapor in the wind
Still You hear me when I'm calling
Lord, You catch me when I'm falling
And You've told me who I am
I am, I am Yours

Not because of who I am
But because of what You've done
Not because of what I've done
But because of who You are

I am a flower quickly fading
Here today and gone tomorrow
A wave tossed in the ocean
A vapor in the wind
Still You hear me when I'm calling
Lord, You catch me when I'm falling
And You've told me who I am
I am Yours, I am Yours

I am Yours
Whom shall I fear
Whom shall I fear
'Cause I am Yours
I am Yours",Inspiring
Here as in Heaven,Elevation Worship,"For the spirit of the Lord is here
The evidence is all around
That the spirit of the Lord is here

Overflow in this place
Fill our hearts with your love
Your love surround us
You're the reason we came
To encounter your love
Your love surround us

Spirit of God fall fresh on us
We need your presence
Your kingdom come
Your will be done
Here as in heaven

A miracle can happen now
For the spirit of the Lord is here
The evidence is all around
That the spirit of the Lord is here",Inspiring
Hills and Valleys (The Valleys Version),Tauren Wells,"You wiped my tears away
And I've felt the pain of heartbreak
And I've seen the brighter days

And I've prayed prayers to Heaven
From my lowest place
And I have held Your blessings
God, You give and take away

No matter what I have, Your grace is enough
No matter where I am, I'm standing in Your love

On the mountains, I will bow my life
To the One who set me there
In the valley, I will lift my eyes
To the One who sees me there

When I'm standing on the mountain
I didn't get there on my own
When I'm walking through the valley
I know I am not alone

You're God of the hills and valleys
Hills and valleys
God of the hills and valleys
And I am not alone

I've watched my dreams get broken
In You, I hope again
No matter what I know
I'm safe inside Your hands

On the mountains, I will bow my life
To the One who set me there (to the One who set me there)
In the valley, I will lift my eyes
To the One who sees me there

When I'm standing on the mountain
I didn't get there on my own
When I'm walking through the valley
I know I am not alone

You're God of the hills and valleys
Hills and valleys
God of the hills and valleys
And I am not alone

Father, You give and take away
Every joy and every pain
Through it all, You will remain
Over it all

Father, You give and take away
Every joy and every pain
Through it all, You will remain
Over it all

On the mountains, I will bow my life, yeah
In the valley, I will lift my eyes, yeah

On the mountains, I will bow my life
To the One who set me there (to the One who set me there)
In the valley, I will lift my eyes
To the One who sees me there

When I'm standing on the mountain
I didn't get there on my own
When I'm walking through the valley
I know I am not alone (I'm not alone)

You're God of the hills and valleys (yeah)
Hills and valleys
God of the hills and valleys (You're the God of the hills)
And I am not alone

You're God of the hills and valleys (yeah)
Hills and valleys
God of the hills and valleys (You're the God of the hills)
And I am not alone (God of the valleys)

And I will choose to say
Blessed be Your Name
And I am not alone",Inspiring
Praise You In This Storm,Casting Crowns,"That You would have reached down
And wiped our tears away
Stepped in and saved the day
But once again, I say ""Amen"", and it's still raining

As the thunder rolls
I barely hear You whisper through the rain
""I'm with you""
And as Your mercy falls
I raise my hands and praise the God who gives
And takes away

And I'll praise You in this storm
And I will lift my hands
For You are who You are
No matter where I am
And every tear I've cried
You hold in Your hand
You never left my side
And though my heart is torn
I will praise You in this storm

I remember when
I stumbled in the wind
You heard my cry
You raised me up again
My strength is almost gone
How can I carry on
If I can't find You

As the thunder rolls
I barely hear You whisper through the rain
""I'm with you""
And as Your mercy falls
I raise my hands and praise the God who gives
And takes away

And I'll praise You in this storm
And I will lift my hands
For You are who You are
No matter where I am
And every tear I've cried
You hold in Your hand
You never left my side
And though my heart is torn
I will praise You in this storm

I lift my eyes unto the hills
Where does my help come from?
My help comes from the Lord
The Maker of Heaven and Earth

I lift my eyes unto the hills
Where does my help come from?
My help comes from the Lord
The Maker of Heaven and Earth

And I'll praise You in this storm
And I will lift my hands
For You are who You are
No matter where I am
Every tear I've cried
You hold in Your hand
You never left my side
And though my heart is torn
I will praise You in this storm

And though my heart is torn
I will praise You in this storm",Inspiring
King of the World,Natalie Grant,"I try to keep you safely in between the lines
I try to put you in the box that I've designed
I try to pull you down so we are eye to eye

When did I forget that you've always been the king of the world?
I try to take life back right out of the hands of the king of the world
How could I make you so small
When you're the one who holds it all
When did I forget that you've always been the king of the world

Just a whisper of your voice can tame the seas
So who am I to try to take the lead
Still I run ahead and think I'm strong enough
When you're the one who made me from the dust

When did I forget that you've always been the king of the world?
I try to take life back right out of the hands of the king of the world
How could I make you so small
When you're the one who holds it all
When did I forget that you've always been the king of the world

Oh, you set it all in motion
Every single moment
You brought it all to me
And you're holding on to me

When did I forget that you've always been the king of the world?
I try to take life back right out of the hands of the king of the world
How could I make you so small
When you're the one who holds it all
When did I forget you've always been the king of the world
You will always be the king of the world",Inspiring
King of My Heart,Kutless,"Be the mountain where I run
The fountain I drink from
Oh, He is my song

Let the King of my heart
Be the shadow where I hide
The ransom for my life
Oh, He is my song

You are good, good, oh
You are good, good, oh
You are good, good, oh
You are good, good, oh

Let the King of my heart
Be the wind inside my sails
The anchor in the waves
Oh, He is my song

Let the King of my heart
Be the fire inside my veins
The echo of my days
Oh, He is my song

You are good, good, oh
You are good, good, oh
Yes, You are good, good, oh
You are good, good, oh

You're never gonna let
Never gonna let me down
You're never gonna let
Never gonna let me down
You're never gonna let
Never gonna let me down
You're never gonna let
Never gonna let me down

You are good, good, oh
You are good, good, oh

You are good, good, oh
(When the night is holding on to me)
You are good, good, oh
(You are holding on)

You are good, good, oh
(When the night is holding on to me)
You are good, good, oh
(You are holding on)

You are good, good, oh
You are good, good, oh

When the night is holding on to me
God is holding on
When the night is holding on to me
God is holding on",Inspiring
Redeemed,Big Daddy Weave,"Haunted by ghosts that lived in my past
Bound up in shackles of all my failures
Wondering how long is this gonna last
Then You look at this prisoner and say to me
""Son, stop fighting a fight that's already been won""

I am redeemed
You set me free
So I'll shake off theses heavy chains
And wipe away every stain
Now I'm not who I used to be
I am redeemed
I am redeemed

All my life I have been called unworthy
Named by the voice of my shame and regret
But when I hear You whisper, ""Child lift up your head""
I remember oh God, You're not done with me yet

I don't have to be
The old man inside of me
'Cause his day is long dead and gone
Because I've got a new name
A new life I'm not the same
And a hope that will carry me home",Inspiring
Great Are You Lord,One Sonic Society,"You bring light to the darkness
You give hope, You restore
Every heart that is broken
Great are you Lord

Cause
It's Your breath in our lungs
So we pour out our praise, we pour out our praise
It's Your breath in our lungs
So we pour out our praise to You only

You give life, You are love
You bring light to the darkness
You give hope, You restore
Every heart that is broken
Great are you Lord

It's Your breath in our lungs
So we pour out our praise, we pour out our praise
It's Your breath in our lungs
So we pour out our praise to You only

It's Your breath in our lungs
So we pour out our praise, we pour out our praise
It's Your breath in our lungs
So we pour out our praise to You only

All the earth will shout your praise
Our hearts will cry, these bones will sing
Great are you Lord

It's Your breath in our lungs
So we pour out our praise, we pour out our praise
It's Your breath in our lungs
So we pour out our praise to You only

Pour out our praise to You only
Pour out our praise to You only",Inspiring
First,Lauren Daigle,"I will bring my heart
Before I lift my cares
I will lift my arms
I wanna know You
I wanna find You
In every season
In every moment
Before I bring my need
I will bring my heart
And seek You

First
I wanna seek You
I wanna seek You
First
I wanna keep You
I wanna keep You
First
More than anything I want, I want You
First

Before I speak a word
Let me hear Your voice
And in the midst of pain
Let me feel Your joy
Ooh, I wanna know You
I wanna find You
In every season
In every moment
Before I speak a word
I will bring my heart
And seek You

First
I wanna seek You
I wanna seek You
First
I wanna keep You
I wanna keep You
First
More than anything I want, I want You
First

You are my treasure and my reward
Let nothing ever come before
You are my treasure and my reward
Let nothing ever come before
I seek You

First

First
I wanna seek You
I wanna seek You
First
I wanna keep You
I wanna keep You
First
More than anything I want, I want You
First
First",Inspiring
Clean,Natalie Grant,"You see whole
I see broken
But You see beautiful
And You're helping me to believe
You're restoring me piece by piece

There's nothing too dirty that You can't make worthy
You wash me in mercy
I am clean
There's nothing too dirty that You can't make worthy
You wash me in mercy
I am clean

What was dead now lives again
My heart's beating, beating inside my chest
Oh I'm coming alive with joy and destiny
Cause You're restoring me piece by piece

There's nothing too dirty that You can't make worthy
You wash me in mercy
I am clean
There's nothing too dirty that You can't make worthy
You wash me in mercy
I am clean

Washed in the blood of Your sacrifice
Your blood flowed red and made me white
My dirty rags are purified
I am clean",Inspiring
Flawless,MercyMe,"Than going back and forth
From doing right to doing wrong
'Cause we were taught that's who we are
Come on get in line right behind me
You along with everybody
Thinking there's worth in what you do

Then Like a hero who takes the stage when
We're on the edge of our seats saying it's too late
Well let me introduce you to amazing grace

No matter the bumps
No matter the bruises
No matter the scars
Still the truth is
The cross has made
The cross has made you flawless
No matter the hurt
Or how deep the wound is
No matter the pain
Still the truth is
The cross has made
The cross has made you flawless

Could it possibly be
That we simply can't believe
That this unconditional
Kind of love would be enough
To take a filthy wretch like this
And wrap him up in righteousness
But that's exactly what He did

No matter the bumps
No matter the bruises
No matter the scars
Still the truth is
The cross has made
The cross has made you flawless
No matter the hurt
Or how deep the wound is
No matter the pain
Still the truth is
The cross has made
The cross has made you flawless

Take a breath smile and say
Right here right now I'm ok
Because the cross was enough

Then Like a hero who takes the stage when
We're on the edge of our seats saying it's too late
Well let me introduce you to grace grace
God's grace

No matter the bumps
No matter the bruises
No matter the scars
Still the truth is
The cross has made
The cross has made you flawless
No matter the hurt
Or how deep the wound is
No matter the pain
Still the truth is
The cross has made
The cross has made you flawless

No matter what they say
Or what you think you are
The day you called His name
He made you flawless
He made you flawless

No matter the bumps
No matter the bruises
No matter the scars
Still the truth is
The cross has made
The cross has made you flawless",Inspiring
The Lion and the Lamb,Big Daddy Weave,"And every chain will break, as broken hearts declare His praise
Who can stop the Lord Almighty?

Our God is the Lion, the Lion of Judah
He's roaring with power and fighting our battles
And every knee will bow before You
Our God is the Lamb, the Lamb that was slain
For the sin of the world, His blood breaks the chains
And every knee will bow before the Lion and the Lamb
Oh every knee will bow before the Lion and the Lamb

So open up the gates, make way before the King of kings
Our God who calls the saved is here to set the captives free
Who can stop the Lord Almighty?

Our God is the Lion, the Lion of Judah
He's roaring with power and fighting our battles
And every knee will bow before You
Our God is the Lamb, the Lamb that was slain
For the sin of the world, His blood breaks the chains
And every knee will bow before the Lion and the Lamb
Oh every knee will bow before the Lion and the Lamb

Who can stop the Lord Almighty?
Who can stop the Lord Almighty?
Who can stop the Lord Almighty?
Who can stop the Lord Almighty?

Oh who can stop the Lord Almighty?
Who can stop the Lord Almighty?
Oh who can stop the Lord Almighty?
Who can stop the Lord?

Our God is the Lion, the Lion of Judah
He's roaring with power and fighting our battles
And every knee will bow before You
Our God is the Lamb, the Lamb that was slain
For the sin of the world, His blood breaks the chains
And every knee will bow before the Lion and the Lamb
Oh every knee will bow before the Lion and the Lamb
And every knee will bow before the Lion and the Lamb
Every knee will bow before the Lion and the Lamb",Inspiring
